,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
0,Submission,1,4:48,L,Joseph Benavidez,0,18 of 28,64%,22 of 33,0 of 0,---,0,0,0:00,8 of 15,5 of 7,5 of 6,18 of 28,0 of 0,0 of 0,W,Deiveson Figueiredo,2,35 of 40,87%,40 of 45,0 of 0,---,4,0,2:23,31 of 36,4 of 4,0 of 0,12 of 16,0 of 0,23 of 24
1,KO/TKO,2,6:54,L,Joseph Benavidez,0,46 of 94,48%,46 of 94,0 of 2,0%,0,0,0:10,28 of 63,8 of 13,10 of 18,36 of 78,10 of 16,0 of 0,W,Deiveson Figueiredo,1,25 of 49,51%,25 of 49,1 of 1,100%,1,0,0:27,18 of 39,7 of 10,0 of 0,20 of 44,2 of 2,3 of 3
2,KO/TKO,2,9:47,W,Joseph Benavidez,1,50 of 115,43%,72 of 138,0 of 0,---,0,0,2:03,27 of 77,14 of 23,9 of 15,44 of 107,3 of 4,3 of 4,L,Jussier Formiga,0,15 of 48,31%,15 of 48,1 of 3,33%,0,0,0:26,15 of 47,0 of 1,0 of 0,15 of 48,0 of 0,0 of 0
3,Decision - Unanimous,3,15:00,W,Joseph Benavidez,1,21 of 50,42%,37 of 72,7 of 12,58%,0,2,6:50,7 of 30,6 of 8,8 of 12,20 of 44,0 of 2,1 of 4,L,Dustin Ortiz,0,49 of 87,56%,93 of 136,3 of 8,37%,0,1,3:03,21 of 54,28 of 32,0 of 1,20 of 55,22 of 23,7 of 9
4,KO/TKO,1,4:19,W,Joseph Benavidez,0,35 of 72,48%,42 of 79,1 of 2,50%,0,0,1:15,20 of 48,11 of 17,4 of 7,19 of 50,1 of 2,15 of 20,L,Alex Perez,0,14 of 32,43%,14 of 32,1 of 1,100%,0,0,0:03,5 of 21,7 of 9,2 of 2,9 of 27,5 of 5,0 of 0
5,Decision - Split,3,15:00,L,Joseph Benavidez,0,59 of 186,31%,86 of 216,2 of 14,14%,0,0,4:24,28 of 128,14 of 33,17 of 25,57 of 180,2 of 6,0 of 0,W,Sergio Pettis,0,74 of 168,44%,87 of 183,0 of 0,---,0,0,0:00,69 of 155,5 of 13,0 of 0,64 of 158,9 of 9,1 of 1
6,Decision - Split,3,15:00,W,Joseph Benavidez,0,69 of 232,29%,69 of 232,0 of 0,---,0,0,0:01,39 of 172,19 of 35,11 of 25,68 of 228,1 of 4,0 of 0,L,Henry Cejudo,1,68 of 195,34%,70 of 197,1 of 7,14%,0,0,0:13,29 of 143,29 of 39,10 of 13,59 of 176,9 of 19,0 of 0
7,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,66 of 197,33%,82 of 214,0 of 0,---,0,0,0:35,45 of 165,19 of 30,2 of 2,46 of 167,19 of 29,1 of 1,L,Zach Makovsky,0,40 of 96,41%,43 of 99,4 of 19,21%,0,0,1:19,24 of 79,4 of 5,12 of 12,33 of 86,7 of 10,0 of 0
8,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,48 of 146,32%,48 of 146,0 of 1,0%,0,0,0:00,32 of 111,10 of 26,6 of 9,44 of 139,4 of 7,0 of 0,L,Ali Bagautinov,0,31 of 121,25%,31 of 121,0 of 5,0%,0,0,0:19,22 of 103,5 of 12,4 of 6,30 of 117,1 of 4,0 of 0
9,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,63 of 109,57%,116 of 168,4 of 6,66%,0,0,9:10,35 of 73,12 of 18,16 of 18,26 of 61,15 of 20,22 of 28,L,John Moraga,0,42 of 75,56%,55 of 92,0 of 3,0%,0,0,0:41,14 of 42,21 of 26,7 of 7,21 of 51,17 of 19,4 of 5
10,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,94 of 199,47%,96 of 201,2 of 3,66%,0,0,2:27,60 of 153,17 of 27,17 of 19,73 of 173,19 of 22,2 of 4,L,Dustin Ortiz,0,37 of 149,24%,59 of 171,2 of 9,22%,0,0,0:44,30 of 132,7 of 16,0 of 1,31 of 129,6 of 19,0 of 1
11,Submission,1,4:08,W,Joseph Benavidez,0,9 of 23,39%,14 of 28,0 of 0,---,1,1,1:33,4 of 16,4 of 6,1 of 1,9 of 22,0 of 1,0 of 0,L,Tim Elliott,0,16 of 21,76%,27 of 35,3 of 3,100%,0,0,1:16,10 of 15,3 of 3,3 of 3,13 of 17,3 of 4,0 of 0
12,KO/TKO,1,2:08,L,Joseph Benavidez,0,4 of 27,14%,4 of 27,0 of 0,---,0,0,0:00,1 of 20,0 of 4,3 of 3,4 of 26,0 of 1,0 of 0,W,Demetrious Johnson,1,7 of 14,50%,9 of 16,0 of 1,0%,0,0,0:02,5 of 11,0 of 0,2 of 3,3 of 10,0 of 0,4 of 4
13,KO/TKO,1,3:07,W,Joseph Benavidez,1,20 of 52,38%,20 of 52,0 of 0,---,0,0,0:05,13 of 40,4 of 7,3 of 5,16 of 46,0 of 2,4 of 4,L,Jussier Formiga,0,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:00,5 of 15,1 of 3,0 of 0,5 of 17,1 of 1,0 of 0
14,KO/TKO,2,9:50,W,Joseph Benavidez,2,57 of 153,37%,63 of 162,2 of 2,100%,0,0,1:51,35 of 126,8 of 10,14 of 17,49 of 130,2 of 3,6 of 20,L,Darren Uyenoyama,0,11 of 33,33%,11 of 33,0 of 2,0%,0,0,0:26,6 of 24,3 of 7,2 of 2,8 of 29,2 of 2,1 of 2
15,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,57 of 184,30%,62 of 189,0 of 1,0%,0,0,0:26,33 of 135,12 of 23,12 of 26,52 of 177,5 of 7,0 of 0,L,Ian McCall,0,40 of 113,35%,54 of 127,1 of 4,25%,0,0,1:29,18 of 70,13 of 24,9 of 19,30 of 94,8 of 16,2 of 3
16,Decision - Split,5,25:00,L,Joseph Benavidez,0,44 of 250,17%,53 of 259,0 of 7,0%,2,0,3:24,23 of 204,12 of 28,9 of 18,34 of 223,9 of 26,1 of 1,W,Demetrious Johnson,0,77 of 156,49%,96 of 177,5 of 10,50%,0,0,2:20,29 of 96,33 of 42,15 of 18,45 of 114,23 of 32,9 of 10
17,KO/TKO,2,5:11,W,Joseph Benavidez,1,18 of 50,36%,33 of 65,1 of 5,20%,1,0,2:51,8 of 29,6 of 10,4 of 11,12 of 42,2 of 2,4 of 6,L,Yasuhiro Urushitani,0,8 of 18,44%,12 of 22,0 of 0,---,0,0,0:00,5 of 13,2 of 2,1 of 3,8 of 18,0 of 0,0 of 0
18,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,66 of 144,45%,69 of 147,0 of 6,0%,0,0,0:09,28 of 76,16 of 29,22 of 39,55 of 133,10 of 10,1 of 1,L,Eddie Wineland,0,24 of 71,33%,25 of 72,0 of 1,0%,0,0,0:20,12 of 56,9 of 11,3 of 4,21 of 67,3 of 4,0 of 0
19,Decision - Unanimous,3,15:00,W,Joseph Benavidez,0,48 of 118,40%,70 of 147,5 of 17,29%,0,0,3:47,18 of 72,25 of 36,5 of 10,41 of 109,5 of 5,2 of 4,L,Ian Loveland,0,45 of 90,50%,50 of 98,0 of 1,0%,0,0,0:15,32 of 76,11 of 12,2 of 2,39 of 79,4 of 8,2 of 3
20,Submission,2,7:45,W,Joseph Benavidez,0,17 of 65,26%,23 of 71,0 of 1,0%,3,1,1:10,12 of 55,2 of 6,3 of 4,15 of 59,0 of 1,2 of 5,L,Wagnney Fabiano,0,6 of 23,26%,6 of 23,0 of 0,---,0,0,1:10,3 of 18,2 of 3,1 of 2,6 of 23,0 of 0,0 of 0
21,Decision - Split,5,25:00,L,Joseph Benavidez,0,35 of 205,17%,46 of 218,0 of 11,0%,1,0,1:42,18 of 164,7 of 17,10 of 24,30 of 192,5 of 11,0 of 2,W,Dominick Cruz,0,58 of 188,30%,103 of 241,6 of 9,66%,0,0,5:54,27 of 151,24 of 29,7 of 8,41 of 161,12 of 18,5 of 9
